X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.1145653177069,38.8794847802098,13340156,38.879477,-77.114563,Wilson Blvd. & N. Vermont St.,classic,622,active,2021/08/05 12:04:22+00,5,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-76.9695112741616,38.897507788531,13340157,38.8975,-76.969509,Oklahoma Ave & Benning Rd NE,classic,623,active,2021/08/05 08:51:35+00,5,0,11,0,3,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-76.9785212748918,38.8693447827869,13340158,38.869337,-76.978519,Minnesota Ave & R St SE,classic,624,active,2021/08/05 08:51:32+00,11,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.355301396895,38.9490157844819,13340159,38.949008,-77.355299,Vy Reston Heights,classic,625,active,2021/08/05 08:51:32+00,6,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2021/08/05 11:19:31+00,,"Fairfax, VA"
-77.005651285426,38.9023937881967,13340160,38.902386,-77.005649,1st & K St NE,classic,626,active,2021/08/05 14:41:18+00,3,0,12,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.100798309773,38.8081687656931,13340161,38.808161,-77.100796,Wheeler Ave & S. Floyd St.,classic,628,active,2021/08/05 13:28:36+00,2,0,9,5,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-77.1089403141368,38.8408047720774,13340162,38.840797,-77.108938,N. Beauregard St. & Berkley St.,classic,629,active,2021/08/05 14:59:19+00,13,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-77.0494382923307,38.7930727643364,13340163,38.793065,-77.049436,Mt Vernon Trail & S. Washington St.,classic,630,active,2021/08/05 13:17:43+00,6,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-77.0824653031045,38.8027457654713,13340164,38.802738,-77.082463,Eisenhower Ave & Ike Dr,classic,632,active,2021/08/05 13:53:43+00,13,0,2,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-76.9858562798802,38.9110007911781,13340165,38.910993,-76.985854,Capitol Ave & Kendall St NE,classic,633,active,2021/08/05 12:14:35+00,8,0,7,0,4,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
